name,line
Alice,"Hey, hey, listen!"
Alice,I decided!
Alice,You're Hourai!
Alice,Hourai!
Hourai,I'm Hourai
Hourai,I-I'm Hourai
Hourai,I am Hourai.
Alice,Ok
Alice,Great weather outside
Alice,Good.
Alice,Well then...
Alice,Shall we start cleaning?
Alice,"Yes, yes, hurry."
Alice,The earlier we start the earlier we'll finish.
Hourai,Huh?
Hourai,That person...
Hourai,I've seen her before...
Hourai,And also...
Alice,"Oh, get the buckets ready."
Alice,Give it you best~
Hourai,Why?
Alice,Hmm?
Alice,Is someone there?
Alice,Could it be Marisa?
Marisa,ALICE!!
Marisa,Are you in?
Alice,I knew it.
Hourai,?
Hourai,Who came?
Alice,"Jeez, I can hear you, no need to scream so loud."
Marisa,Hahaha
Marisa,"Sorry, sorry."
Marisa,Look on my morning walk I found some mushrooms.
Marisa,And I was thinking you could cook a lil' Something with them.
Alice,"Ok, then I'll leave cleaning the garden to you."
Marisa,Huh?
Alice,That way you'll be hungrier; two birds one stone~
Alice,Right?
Marisa,So she says...
Marisa,If I knew this would happen I wouldn't have come 
Alice,HEY!
Alice,Quit slacking!
Marisa,Yeah yeah
Marisa,Alice has it good leaving it to the dolls while I-
Marisa,OW!
Marisa,Auu~
Alice,"Marisa, what's wrong?"
Marisa,This thing fell on me.
Alice,Ah...
Alice,Hourai was it you?
Alice,"That's no good, gotta be more careful."
Alice,"Geez, it's dangerous, got it?"
Marisa,"Umm Alice, aren't you the one moving it?"
Alice,Ah... Well sometimes I don't even know what I'm doing.
Hourai,...
Alice,"Either way, this pain is because of you!"
Alice,Come in. I'll treat your wound.
Marisa,Ah~ It hurts.
Marisa,I'm gonna die!
Alice,Die!?
Hourai,That nostalgic person is Alice... 
Hourai,That thing that came is named Marisa?
Hourai,I don't like her!
Hourai,...
Hourai,I am the only one...
Hourai,Who's supposed to be by her side...
Alice,"There, all better!"
Alice,I'll take care of what's left so you take a rest.
Marisa,Thanks Alice~
Marisa,I was surprised to see you mess up while controlling the dolls.
Alice,Sorry about that.
Alice,"Well, you get to rest because of it."
Alice,And later I'll treat you to lunch too.
Alice,So isn't it great for you?
Marisa,One mustn't let the injured work right?
Alice,"Anyways, I'm going to finish the rest of the cleaning."
Alice,Take care!
Alice,Stay put ok?
Alice,What should I make for lunch?
Marisa,Hehe
Marisa,As if I could stay put!
Marisa, I'll get bored!
Marisa,I'll read some of her books and study~
Marisa,I'm sure it's straight up the second floor.
Marisa,Hm?
Marisa,If it isn't Hourai?
Marisa,Come to apologize for what you did earlier?
Marisa,Guess not...
Marisa,I see...
Marisa,"If it's like that, then, I'll make you show me your secret library!"
Marisa,And all of your willpower!
Alice,Hmm~
Alice,Almost finished.
Alice,Thanks everyone.
Alice,I guess it's time...
Alice,To get started on lunch.
Alice,I'm sure she's hungry by now.
Marisa,She~
Marisa,She's so strong!
Marisa,What the-
Marisa,She's hella strong!!
Marisa,Wait!
Marisa,I got it.
Marisa,I won't go up to the second floor...
Marisa,Listen to me!!
Marisa,Wah!
Marisa,Wah?
Marisa,Huh?
Marisa,What?
Marisa,Why'd she suddenly-
Alice,HEY!
Alice,Didn't I tell you to stay put?
Marisa,"I'm sorry Alice, I won't go up..."
Alice,Huh? You gone crazy from hunger?
Alice,Fine.
Alice,"I'll hurry up and make lunch, so this time be sure to stay put okay?"
Marisa,Eh...
Marisa,Umm...
Marisa,Yeah....
Marisa,Did that not reach Alice?
Hourai,Damn it!
Hourai,A bit longer.
Hourai,"Just a bit more, and I would have given her the finishing blow."
Hourai,Why did Alice have to come in?
Hourai,And what does Alice see in her?
Hourai,"She's loud, weak and dumb!"
Marisa,Well sorry about that!!
Hourai,WAAH!?!
Hourai,"You, since when have you been there?"
Marisa,Since just now...
Hourai,Let me go!
Hourai,Let go!
Marisa,"Wow, she's really moving by herself."
Hourai,What do you intend to do to me?
Marisa,And it looks like Alice doesn't know.
Marisa,There~
Hourai,You!
Hourai,What is this?
Marisa,Let's talk a bit.
Marisa,Sorry about before.
Hourai,The heck you talking about?
Marisa,"First of all, I'm not 'you', I'm Marisa."
Hourai,...
Marisa,"Also, haven't we seen each other lots of times?"
Marisa,Why did you come rushing at me today?
Hourai,I recently became conscious.
Hourai,Since this morning actually...
Hourai,So I don't know who you are.
Hourai,Nor who exactly Alice is.
Marisa,I see...
Marisa,Just recently.
Hourai,But!
